3S,Mobile,,,HTBS
Adablock,Social network,Entertainment,,"HTBS, ITV"
Antojitos Mejicanos,Fast-Food,mexican,,HTBS
Auspiciame.cl,web,sponsor search,crowdfunding,SUP UC
Bottle,Geo-Location,Mobile,,SUP UC
Campamento Solar,Recreation,Kids,Fun,HTBS
Comparín,e-commerce,,,"HTBS, ITV"
Drink Snaps,Hardware,Analytics,Commerce,HTBS
Empowler,Market research,web,,SUP UC
EnfoGrid,Energy,Hardware,,HTBS
HassExpress,Food,Distribution,Restaurants,HTBS
Hazlo,Education,Non-profit,Kids,HTBS
Kimeltu,Education,,,HTBS
MallSnaps,Hardware,Analytics,Commerce,HTBS
MiCancha,Platform,Sports,,HTBS
MusicHub,Music,e-commerce,,HTBS
NextDestiny,Travel,Social,,HTBS
Npedals,Hardware,Guitar Pedals,,HTBS
RingIt,Hardware,,,SUP UC
Sobresalen,Outsourcing,Freelance,Design,HTBS
The Business Connection,Website creation,platform,SMEs,SUP UC
Traveling Pie,Travel,Social Network,,SUP UC
Tripddy,Travel,Social,Location,"HTBS, ITV"
Valluable Skills,Outsourcing,Freelance,Startups,HTBS
Weeft,e-commerce,Social,,HTBS
